id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
GAL_AUR_019,100,45,29,29,29,1,common,0,7.92,67.36
GAL_AUR_019,101,66,52,52,52,1,common,0,3.07,75.18
GAL_AUR_019,102,53,44,44,44,1,common,0,1.79,81.73
GAL_AUR_019,0,44,24,24,24,1,common,1,4.18,105.78
GAL_AUR_019,1,29,23,23,23,1,common,2,7.62,116.17
GAL_AUR_019,2,27,12,12,12,1,common,3,1.54,120.4
GAL_AUR_019,3,65,74,65,65,1,common,4,4.98,128.16
GAL_AUR_019,4,90,75,75,75,1,common,5,2.43,133.38
GAL_AUR_019,5,18,12,12,12,1,common,6,2.65,138.76
GAL_AUR_019,6,9,16,9,9,1,common,7,1.2,142.69
GAL_AUR_019,7,25,40,25,40,0,common,7,6.62,152.05
GAL_AUR_019,8,75,60,60,60,1,common,8,3.38,158.2
GAL_AUR_019,9,25,43,25,25,1,common,9,3.78,164.73
GAL_AUR_019,10,26,15,15,15,1,common,10,2.04,169.49
GAL_AUR_019,11,71,54,54,54,1,common,11,2.47,174.74
GAL_AUR_019,12,46,29,29,29,1,common,12,3.75,181.21
GAL_AUR_019,13,53,33,33,33,1,common,13,5.89,189.85
GAL_AUR_019,14,52,38,38,38,1,common,14,1.51,194.15
GAL_AUR_019,15,44,24,24,24,1,common,15,0.95,197.83
GAL_AUR_019,16,13,12,13,12,0,common,15,4.5,205.03
GAL_AUR_019,17,58,64,64,58,0,common,15,6.01,213.81
GAL_AUR_019,18,31,13,13,13,1,common,16,1.19,217.76
GAL_AUR_019,19,98,88,88,88,1,common,17,1.08,221.64
GAL_AUR_019,20,43,31,31,31,1,common,18,1.81,226.23
GAL_AUR_019,21,36,25,25,25,1,common,19,2.91,231.87
GAL_AUR_019,22,42,29,29,29,1,common,20,5.22,239.82
GAL_AUR_019,23,20,32,20,20,1,common,21,2.59,245.13
GAL_AUR_019,24,19,36,36,36,1,common,22,8.33,256.21
GAL_AUR_019,25,48,36,36,36,1,common,23,0.9,259.89
GAL_AUR_019,26,13,33,13,13,1,common,24,6.21,268.83
GAL_AUR_019,27,35,45,35,35,1,common,25,1.45,273.05
GAL_AUR_019,28,35,24,24,24,1,common,26,2.77,278.54
GAL_AUR_019,29,28,45,28,28,1,common,27,0.86,282.12
GAL_AUR_019,30,13,30,13,13,1,common,28,0.87,285.72
GAL_AUR_019,31,36,17,36,36,1,common,29,2.0,290.47
GAL_AUR_019,32,62,74,62,62,1,common,30,3.03,296.27
GAL_AUR_019,33,26,31,26,26,1,common,31,10.25,309.26
GAL_AUR_019,34,28,38,28,28,1,common,32,0.85,312.87
GAL_AUR_019,35,72,81,72,72,1,common,33,0.96,316.61
GAL_AUR_019,36,21,16,16,16,1,common,34,2.03,321.38
GAL_AUR_019,37,36,21,36,36,1,common,35,3.05,327.18
GAL_AUR_019,38,16,36,16,16,1,common,36,1.31,331.22
GAL_AUR_019,39,8,16,8,8,1,common,37,3.08,337.03
GAL_AUR_019,40,12,18,12,12,1,common,38,1.94,341.69
GAL_AUR_019,41,67,76,67,67,1,common,39,1.49,345.94
GAL_AUR_019,42,84,92,84,84,1,common,40,1.52,350.22
GAL_AUR_019,43,34,14,14,14,1,common,41,0.9,353.89
GAL_AUR_019,44,14,9,9,9,1,common,42,1.69,358.27
GAL_AUR_019,45,83,103,83,83,1,common,43,1.76,362.82
GAL_AUR_019,46,33,23,23,23,1,common,44,0.83,366.35
GAL_AUR_019,47,19,28,28,28,1,common,45,1.99,371.08
GAL_AUR_019,48,41,30,30,30,1,common,46,1.41,375.19
GAL_AUR_019,49,53,35,53,35,0,common,46,2.41,380.34
GAL_AUR_019,50,34,33,33,33,1,pro,47,1.29,384.36
GAL_AUR_019,51,81,86,81,81,1,pro,48,2.6,389.75
GAL_AUR_019,52,33,52,33,33,1,pro,49,0.92,393.4
GAL_AUR_019,53,30,44,30,30,1,pro,50,0.7,396.86
GAL_AUR_019,54,30,35,30,30,1,pro,51,3.23,402.82
GAL_AUR_019,55,52,20,20,52,0,pro,51,4.16,409.73
GAL_AUR_019,56,31,52,31,52,0,pro,51,6.46,418.95
GAL_AUR_019,57,24,32,24,24,1,pro,52,1.06,422.73
GAL_AUR_019,58,35,60,35,60,0,pro,52,2.02,427.5
GAL_AUR_019,59,27,32,27,32,0,pro,52,3.47,433.69
GAL_AUR_019,60,20,31,20,20,1,pro,53,0.7,437.08
GAL_AUR_019,61,29,23,23,23,1,pro,54,2.4,442.25
GAL_AUR_019,62,24,14,14,24,0,pro,54,1.02,446.01
GAL_AUR_019,63,51,32,32,32,1,pro,55,1.04,449.81
GAL_AUR_019,64,30,11,11,11,1,pro,56,1.3,453.82
GAL_AUR_019,65,72,53,53,53,1,pro,57,1.0,457.61
GAL_AUR_019,66,41,51,41,41,1,pro,58,1.15,461.52
GAL_AUR_019,67,26,42,26,26,1,pro,59,0.83,465.11
GAL_AUR_019,68,48,23,23,48,0,pro,59,0.95,468.8
GAL_AUR_019,69,30,56,30,56,0,pro,59,0.85,472.4
GAL_AUR_019,70,43,62,43,43,1,pro,60,2.81,477.96
GAL_AUR_019,71,44,50,44,44,1,pro,61,0.6,481.37
GAL_AUR_019,72,14,20,14,20,0,pro,61,0.78,484.88
GAL_AUR_019,73,32,26,26,26,1,pro,62,0.94,488.53
GAL_AUR_019,74,19,39,19,19,1,pro,63,1.06,492.3
GAL_AUR_019,75,24,14,24,24,1,pro,64,1.69,496.7
GAL_AUR_019,76,55,70,55,55,1,pro,65,0.92,500.41
GAL_AUR_019,77,15,6,6,6,1,pro,66,0.76,503.9
GAL_AUR_019,78,31,44,31,31,1,pro,67,1.78,508.45
GAL_AUR_019,79,60,28,28,60,0,pro,67,4.25,515.46
GAL_AUR_019,80,31,20,20,20,1,pro,68,2.1,520.27
GAL_AUR_019,81,36,23,23,36,0,pro,68,2.72,525.78
GAL_AUR_019,82,63,80,63,63,1,pro,69,2.04,530.58
GAL_AUR_019,83,8,28,8,8,1,pro,70,1.08,534.38
GAL_AUR_019,84,21,32,32,32,1,pro,71,4.47,541.6
GAL_AUR_019,85,41,29,29,29,1,pro,72,1.04,545.35
GAL_AUR_019,86,40,22,40,40,1,pro,73,13.79,561.86
GAL_AUR_019,87,27,14,14,14,1,pro,74,0.75,565.39
GAL_AUR_019,88,48,32,32,48,0,pro,74,1.04,569.2
GAL_AUR_019,89,42,29,29,29,1,pro,75,1.07,573.03
GAL_AUR_019,90,81,92,81,81,1,pro,76,0.76,576.58
GAL_AUR_019,91,20,22,20,20,1,pro,77,2.69,582.0
GAL_AUR_019,92,45,32,32,32,1,pro,78,2.4,587.17
GAL_AUR_019,93,49,33,33,33,1,pro,79,1.46,591.38
GAL_AUR_019,94,58,41,41,41,1,pro,80,4.0,598.17
GAL_AUR_019,95,36,22,22,36,0,pro,80,8.57,609.49
GAL_AUR_019,96,83,77,77,77,1,pro,81,1.35,613.61
GAL_AUR_019,97,68,62,68,62,0,pro,81,1.84,618.19
GAL_AUR_019,98,17,22,17,17,1,pro,82,3.06,623.99
GAL_AUR_019,99,18,29,18,18,1,pro,83,2.44,629.15
